x,y,icon,name,game,course,description,src,tag
80.35,-68.95,peach,Peach's Castle,Super Mario RPG,Mushroom Kingdom,"Princess Peach's home and castle seen in most Mario games, where she rules the Mushroom Kingdom.",peachcastle1.jpg,landmark
80.35,-72.535,red,Golf Gardens,Mario Golf: Advance Tour,,The gardens found directly outside of Peach's castle. ,MGATGardens.jpg,area
80.355,-66.68,red,Courtyard,Super Mario 64,,"A small courtyard containing the 'L is real 2401' star statue, and the stages Big Boo's Haunt and Battle Fort.",M64Courtyard.jpg,area
80.355,-65.185,red,Superstar Gardens,Mario & Luigi: Superstar Saga,Peach's Castle,Cute gardens found outside of Peach's Castle. Here the Mario Bros set off on their adventure to the Bean Bean Kingdom.,MLSSGardens.png,area
80.355,-58.84,red,Baseball Gardens,Mario Superstar Baseball,Peach Garden,A baseball court outside of Peach's Castle. Surrounded by a stadium with a large portrait of Princess Peach.,MSSBGarden.png,area
80.355,-54.15,flower,Peach Manor,Game & Watch Gallery 4,Chef,A large pink and white manor with cute gardens outside of it.,MK8DManor.webp,location
80.355,-47.95,red,Peach Gardens,Mario Kart DS,Peach Gardens,Large flowery gardens with shrubbery of those closest to Peach. There are also small gazebos for tea and cooking.,MK8DGardens.jpg,area
92,-53,golf,Hole 16,Mario Golf: Toadstool Tour,Peach's Castle Grounds,"A star themed course dotted with fallen stars. With one large mushroom in the center, a gentle river flows through the course.",MGTTHole16.webp,area
86.5,-63,red,Goomba Woods,Super Mario Odyssey ,Mushroom Kingdom,A small grove of trees inhabited by a pocket of Goombas. A castle spire stands in the center. ,MOWoods.jpg,area
80.35,-75.535,red,Castle Walls,Paper Mario: The Origami King,,Castle walls surrounded by a moat. ,PMTOKWalls.png,area
79.4,-76.45,red,Crank the Rank,Mario Party 8,Crank the Rank,A minigame outside of Peach's Castle where players race to raise their flag.,MP8Crank.png,area
76.3,-78.3,red,64 Gardens,Super Mario 64,Outdoor Gardens,The bushes and shrubbery outside of Peach's Castle. Here the player can chase bunnies in the garden.,M64Gardens.png,area
72.75,-70.5,golf,Hole 1 ,Mario Golf: Toadstool Tour,Peach's Castle Grounds,"A course outside of Peach's Castle, with a small river and fountains decorating the waters.",MGTTHole1.webp,area
72.8,-81.8,red,Mushroom Pond,Super Mario Odyssey ,Mushroom Kingdom,A pond in the shape of a mushroom outside of Peach's Castle where Dorrie resides.,MOPond.webp,area
73.6,-80.25,flower,Tail Tree,Super Mario 3D Land,,"A special tree that bears Super Leaves on its branches, granting Tanooki powers.",3DLTree.webp,location
91.53,-84.56,red,Odyssey Hill,Super Mario Odyssey ,Mushroom Kingdom,"A hillside where a beautiful fountain resides, surrounded by flowers. ",MOFountain.png,area
84.24,-90.4,flower,Mini Star Telescope,Mario Party 9,,"A large telescope on a stargazing hill, where Mario and his friends go to watch the Mini Stars. ",MP9Telescope.png,location
82.17,-90.38,star,Rosalina's Hill,Super Mario Galaxy,Rosalina's Storybook,"A grassy hill dotted with flowers with a large tree, where Rosalina went to go stargazing.",MGStorybook.webp,landmark
81.5,-84.83,red,Castle Town,Super Mario Galaxy,,"A small castle town, where the Toads are found celebrating the star festival.",MGTown.webp,area
70.8,-66.7,red,Odyssey Well,Super Mario Odyssey,Mushroom Kingdom,A small well that leads to a difficult 2D section with a moon at the end.,MOWell.jpg,area
89.75,-71.8,red,Hedge Garden,Super Mario Odyssey,Mushroom Kingdom,A series of hedge bshes tended to by a Toad. ,MOHedge.webp,area
92.46,-64.925,red,Shooting Star Summit,Paper Mario 64,,"Otherwise known as Star Hill, this summit is described as the closest place to Star Haven. It is the place where wishes come true.",PMStarhill.webp,area
93.475,-68.9,flower,Merluvlee's Place,Paper Mario 64,,"Home of the fortune teller Merluvlee, here Mario can learn the locations of Star Pieces, Badges and Super Blocks.",PMMerluvlee.webp,location
99.6,-70.18,flower,Party Museum,Mario Party 9,,Here Mario can spend Party Points to display treasures from his parties. He can also return Mini Star constellations to the sky.,MP9Museum.png,location
100.17,-73.82,pipe,Minigame Pipe,Mario Party 9,,"From here you can go to play the various minigames of Mario Party 9, or to places like the Step It Up Tree, Boss Rush Hall and more.",MP9Pipe.png,location
103.5,-80.3,red,Fuzzy Woods,Paper Mario 64,,Woods nearby Koopa Village where a small colony of fuzzies reside. ,PMFuzzywoods.png,area
94.82,-65.1,vehicle,Star Ship,Paper Mario 64,,A ship built by the star spirits to travel to Bowser's Castle.,PMStarship.webp,vehicle
117.38,-77.24,vehicle,Toad Express,Super Mario Sunshine,,Peach's private airplane which has taken her and special guests around the world. ,SToadexpress.jpg,vehicle
127.5,-64.36,red,Sunbeam Plains,Mario & Luigi: Paper Jam,,"Grassland to the East of Peach's Castle, where Mario started his journey with his paper counterpart.",PJSunbeam.png,area
118.94,-67.7,flower,Lakitu Info Center,Mario & Luigi: Paper Jam,Sunbeam Plains,"A hub of Lakitu where Mario can participate in Toad Rescue Missions, and play in their arcade.",PJLakitucenter.webp,location
133.875,-83.85,golf,Hole 15,Mario Golf: Toadstool Tour,,An island in a large body of water with large growing mushrooms around it.,TTHole15.webp,area
149.92,-68.25,flower,Sunbeam Dock,Mario & Luigi: Paper Jam,Sunbeam Plains,The small dock on the river that Mario returns from with rescued Toads from Twinsy Tropics.,PJSunbeamdocks.png,location
161.43,-47.12,red,Sunbeam Town,Mario & Luigi: Paper Jam,Sunbeam Plains,"This is the first town found in the Paper Jam adventure, where Mario saves the Toads from the Megacrinkle Goomba.",PJPapertown.png,area
158.75,-45.55,flower,Know-It-All Toad House,Mario & Luigi: Paper Jam,Sunbeam Town,A house belonging to one of the five Know-It-All Toads.,PJKnowitall.png,location
160.31,-45.8,flower,Item Shop,Mario & Luigi: Paper Jam,Sunbeam Town,"An item shop selling items like mushrooms, syrups and nuts.",PJItemshop2.png,location
162.148,-45,flower,Gear Shop,Mario & Luigi: Paper Jam,Sunbeam Town,"A gear shop selling hammers, boots, gloves and overalls. Everything a plumber needs to save the Mushroom Kingdom!",PJGearshop.png,location
163.78,-45.45,flower,Lakitu Info Center,Mario & Luigi: Paper Jam,Sunbeam Town,"A hub of Lakitu where Mario can participate in Toad Rescue Missions, and play in their arcade.",PJLakitucenter.webp,location
120.4,-47.75,red,Earth Vellumental Temple,Paper Mario: The Origami King,Picnic Road,"The home of the Earth Vellumental, which can only be accessed with the Shell Stones. Koopa Troopas venerate him via pilgrimage and gifts.",TOKTemple.webp,area
121.25,-48.81,flower,Picnic Market,Paper Mario: The Origami King,Picnic Road,"An item shop outside the Earth Vellumental Temple. Sells the Shellvation idols for the museum, as well as shiny hammers and boots.",TOKPicnicshop.webp,location
115.8,-44.3,red,Picnic Road,Paper Mario: The Origami King,,A gentle mountainous path leading from Peach's Castle to Overlook Mountain. ,TOKPicnic.webp,area
118.85,-37.95,flower,Sensor Lab Headquaters,Paper Mario: The Origami King,Picnic Road,"A laboratory famous for the invention of Fax Travel, the Toad Radar and many more technologies.",TOKSensor.webp,location
141.42,-41.85,red,Overlook Mountain,Paper Mario: The Origami King,,A serene mountain with gentle river and beautiful views. The red streamer summoned by King Olly wrapped around the very top of this mountain. ,TOKOverlook.webp,area
149,-46.16,flower,Toad Tram,Paper Mario: The Origami King,Overlook Mountain,"A cable car that goes all the way from Toad Town to the Autumn Region, passing by Overlook Mountain as a stop.",TOKToadtram.webp,location
145.15,-39.5,flower,Overlook Tower,Paper Mario: The Origami King,Overlook Mountain,"A tall tower on the top of Overlook Mountain, famous for its gift shop and ""million-coin"" nighttime view. ",TOKTower.webp,location
138.42,-33.2,red,Overlook Sports Park,Paper Mario: The Origami King,Overlook Mountain,A large field which acts as a sports play area. Mario fights Macho Shy Guys here. ,TOKSports.jpg,area
146.5,-16.31,tennis,The Peach Dome,Mario Power Tennis,,A large stadium owned by Princess Peach with seats for thousands of fans. Many tennis tournaments are hosted here.,Peachdome.jpg,landmark
81.2,-77.68,flower,Peach's Castle Cannon,Super Mario 64,64 Gardens,A cannon outside of Peach's Castle which is unlocked upon collecting 120 (or 150) stars.,64cannon.png,location
70.47,-60.64,vehicle,Koopa Cruiser,Mario & Luigi: Superstar Saga,,Bowser's personal airship used to bring Mario and Bowser to the Beanbean Kingdom. It was also used to fight in the skies during the Shroob invasion.,Koopacruiser.png,vehicle
67.95,-50.92,red,Peach's Castle Court,Mario Sports Mix,,"A grassy court full of tranquil sprinklers and water fountains. Here you can play dodgeball, basketball, hockey and volleyball!",MSMCourt.webp,area
73.21,-89.3,flower,Yoshi's House,Super Mario World,,"A series of trees decorated with berries, next to a bed of flowers and a fireplace.This seems to be an imitation of Yoshi's home back in Dinosaur Land.",MOYoshi.jpg,location
99.5,-94.5,red,Pleasant Path,Paper Mario 64,,A peaceful series of islands covered in trees and candy pops. Koopas love it around here because there is a lot of water to lounge in. ,PMPleasant.jpg,area
111.5,-90.9,red,Koopa Village,Paper Mario 64,,A small village home to Koopas and Bob-ombs. This is where Kooper joins Mario on his adventure!,PMKoopavillage.webp,area
109.53,-91.66,flower,Toad House,Paper Mario 64,Koopa Village,"A Toad House run by Mort. T, where you can ""rest your body and soul""! Here Mario can rest and heal between adventures.",PMMortT.webp,location
109.33,-90.45,flower,Koopa's Shop,Paper Mario 64,Koopa Village,"A quaint shop which sells various power-ups, such as Mushrooms, Fire Flowers, POW Blocks, etc.",PMKoopashop.webp,location
110.41,-89.64,flower,Beach House,Paper Mario 64,Koopa Village,A very casual Koopa listens to their music on the radio here.,PMBeachhouse.png,location
111.28,-88.63,flower,Kolorado's Home,Paper Mario 64,Koopa Village,"The home of Kolorado and his wife. Kolorado is hardly home, going on adventures and quests for ancient artifacts. Kolorado was once the student of Professor Frankly.",PMKolorado.png,location
111.72,-87.83,flower,Kooper's Home,Paper Mario 64,Koopa Village,"The home of Kooper, a bold adventurous Koopa who joins Mario on his adventure. His house leads to a path to Fuzzy Woods.",PMKooper.png,location
112.64,-87.38,flower,Koopa Koot's Home,Paper Mario 64,Koopa Village,"The home of Koopa Koot, the oldest Koopa in Koopa Village. He used to be a well known adventurer, with Goompa and Bootler, but now is old and makes other do his errands.",PMKoot.webp,location
118.31,-96.85,flower,Koopa Bros. Fortress,Paper Mario 64,,"Originally ruled by the Bob-ombs, the Koopa Bros took it over before the start of Paper Mario. The fortress was actually built before the Bob-ombs, but it is unknown who made it.",PMfort.webp,location
90.1,-85.3,vehicle,Odyssey,Super Mario Odyssey,,"The airship used by Mario and Cappy. It is an older model of Bonneton airships that broke down in the Cascade Kingdom, and is powered by Moons.",odyssey.webp,vehicle
92.61,-83.84,vehicle,Starshroom,Super Mario Galaxy,,A mushroom shaped starship the Toad Brigade uses to aid Mario. Rosalina originally left with the Luma on a repaired Starshroom.,starshroom.webp,vehicle
101.78,-113.97,red,Royal Raceway,Mario Kart 64,Star Cup,"Otherwise known as Peach Circuit, the blossom-lined roads of Royal Raceway drive around a beautiful lake before Peach's Castle, where hundreds of fans watch in the stands.",MKRaceway.webp,area
64.34,-99.23,flower,Goomba King's Fortress,Paper Mario 64,Goomba Road,"A small castle between Toad Town and Goomba Village. After Bowser used the Star Rod on a Goomba, they became the Goomba King, and they took over this castle.",PMGoombafort.webp,location
57.1,-90.36,red,Goomba Road,Paper Mario 64,,The forested road between Goomba Village and Toad Town. Both good Goombas and bad Goombas reside in these woods.,PMGoombaroad.webp,area
54.22,-81,red,Goomba Village,Paper Mario 64,,A small village populated by a single family of Goombas. This is where Goombario joins Mario's adventure.,PMGoombavillage.webp,area
